sleep_efficiency,stress_score,sleep_stage_deep_pct,sleep_stage_rem_pct,sleep_stage_light_pct,sleep_stage_awake_pct,caffeine_mg,bedtime_consistency_std_min,hrv_rmssd_ms,room_humidity_pct,step_count_day,ambient_noise_db,height_cm,room_temperature_c,age,screen_time_before_bed_min,activity_before_bed_min,weight_kg,respiration_rate_bpm,jetlag_hours,sleep_score_raw
0.973,21,0.134,0.2319999999999999,0.493,0.141,115,31.4,39.7,0.3929999999999999,8381,30.0,171.4,21.9,26,54,81,66.7,12.3,25,64
0.912,48,0.143,0.118,0.6459999999999999,0.094,76,18.5,21.8,0.417,4551,36.3,192.8,25.8,51,0,16,34.6,12.4,-3,54
0.986,39,0.212,0.1939999999999999,0.5329999999999999,0.062,113,33.7,33.5,0.457,4563,35.0,173.5,25.4,31,60,74,59.4,15.4,1,63
0.912,18,0.089,0.254,0.5660000000000001,0.09,81,2.0,21.0,0.418,14064,31.4,159.8,23.3,39,43,50,73.7,10.0,6,64
0.938,48,0.165,0.151,0.619,0.066,132,19.0,30.3,0.562,3817,33.0,165.4,21.6,29,47,46,87.5,12.7,6,57
0.966,16,0.1989999999999999,0.236,0.517,0.049,61,41.4,29.9,0.5329999999999999,5021,35.5,166.3,21.0,79,49,25,73.5,16.9,3,60
0.974,27,0.237,0.19,0.5,0.074,48,52.7,42.6,0.3879999999999999,2860,34.0,159.1,20.7,44,0,54,83.8,11.4,8,62
0.892,26,0.215,0.245,0.4679999999999999,0.072,64,16.3,37.0,0.616,4422,31.8,186.6,21.5,65,27,19,94.0,11.6,8,59
0.872,0,0.261,0.1969999999999999,0.48,0.062,4,42.8,11.3,0.253,3721,30.1,158.5,20.3,62,80,55,59.9,17.1,-13,61
0.974,26,0.195,0.146,0.611,0.048,87,10.2,39.5,0.367,6368,36.2,177.3,25.3,18,67,68,57.6,14.3,0,59
0.938,58,0.1689999999999999,0.213,0.432,0.185,125,30.5,5.9,0.352,0,22.0,164.6,22.5,46,67,103,84.6,11.7,6,52
0.986,24,0.163,0.174,0.5670000000000001,0.096,70,77.4,45.0,0.472,9682,40.9,174.5,24.5,45,68,19,100.5,14.7,-2,64
0.977,0,0.206,0.258,0.491,0.044,108,44.7,34.4,0.345,2025,28.3,171.2,23.0,24,63,51,66.4,18.8,0,71
0.958,26,0.192,0.205,0.573,0.0289999999999999,61,41.7,11.0,0.216,3928,40.4,167.5,24.0,39,0,76,65.7,11.6,11,56
0.78,55,0.2289999999999999,0.162,0.5920000000000001,0.017,42,2.2,13.8,0.233,5439,25.2,178.5,21.5,32,59,116,61.6,11.1,0,46
0.89,22,0.318,0.25,0.374,0.0579999999999999,106,13.7,27.6,0.546,3582,28.4,163.1,25.7,66,0,13,79.8,16.2,2,56
0.88,36,0.161,0.235,0.4,0.204,34,16.1,10.3,0.62,886,20.0,164.9,22.1,30,66,27,72.0,14.4,5,57
0.982,70,0.1639999999999999,0.155,0.6509999999999999,0.03,51,46.8,14.5,0.475,10300,22.3,172.1,21.0,66,39,66,55.5,16.9,-8,57
0.99,31,0.256,0.213,0.4639999999999999,0.067,107,26.9,32.4,0.529,1520,37.4,160.4,21.8,22,31,42,67.1,14.7,-3,68
0.802,18,0.168,0.188,0.526,0.118,111,45.9,26.8,0.67,4786,23.6,172.7,20.4,31,0,10,79.9,17.5,14,54
0.906,32,0.122,0.257,0.5710000000000001,0.05,129,48.6,24.7,0.508,2147,34.4,179.6,23.0,33,51,8,71.5,15.1,-6,59
0.901,97,0.185,0.196,0.5379999999999999,0.081,34,63.4,33.8,0.434,5090,38.5,196.5,23.4,62,27,44,45.9,14.8,0,47
0.924,42,0.252,0.182,0.551,0.015,126,76.4,10.1,0.485,3588,21.3,174.9,22.6,44,8,12,97.1,10.8,-2,59
0.927,40,0.176,0.191,0.4589999999999999,0.174,80,37.2,56.1,0.168,0,35.2,165.9,25.9,47,98,2,77.3,11.6,12,58
0.89,18,0.052,0.166,0.4539999999999999,0.3279999999999999,80,23.2,14.8,0.352,4567,28.0,184.2,25.3,35,0,37,84.2,16.8,-2,48
0.8059999999999999,32,0.195,0.18,0.505,0.12,103,12.3,37.0,0.4,10162,43.1,173.4,25.4,55,43,51,82.0,11.7,0,49
0.889,54,0.316,0.258,0.375,0.05,34,13.2,26.4,0.425,857,34.4,181.9,23.6,66,76,0,78.4,13.9,7,57
0.976,28,0.26,0.1639999999999999,0.447,0.128,212,45.1,9.1,0.484,6017,24.5,181.3,24.3,55,62,9,58.9,15.7,3,61
0.792,62,0.195,0.141,0.5670000000000001,0.096,161,46.3,18.2,0.659,6698,42.1,169.5,23.7,36,32,0,93.4,14.4,1,53
0.905,19,0.05,0.246,0.602,0.102,93,51.8,39.0,0.54,9268,31.3,164.4,23.0,22,41,0,77.0,15.3,4,53
0.833,52,0.1669999999999999,0.217,0.594,0.022,130,55.3,11.3,0.515,9590,20.8,161.3,22.4,54,29,17,77.5,11.3,-3,55
0.964,31,0.103,0.212,0.609,0.076,116,39.5,38.9,0.52,7059,38.2,168.1,24.4,61,49,83,76.2,13.4,8,60
0.974,29,0.193,0.211,0.513,0.083,43,11.7,21.8,0.423,12188,31.9,168.2,20.7,33,4,50,70.0,14.6,-6,60
0.973,48,0.15,0.217,0.579,0.053,178,24.3,33.9,0.481,0,26.6,164.3,24.3,33,136,32,76.5,13.3,2,56
0.982,46,0.231,0.179,0.586,0.004,160,25.1,18.4,0.615,9024,29.2,174.5,22.4,18,76,30,56.0,12.4,3,61
0.919,29,0.051,0.245,0.584,0.12,112,2.1,30.3,0.389,7207,25.7,159.6,24.9,50,123,72,54.0,12.6,-1,54
0.848,18,0.128,0.103,0.4639999999999999,0.305,36,30.1,23.0,0.5710000000000001,2432,33.5,157.4,19.9,68,44,49,66.4,11.0,8,53
0.984,48,0.135,0.172,0.662,0.031,102,4.3,29.2,0.4579999999999999,8073,37.1,160.8,22.8,46,38,31,80.6,16.2,-8,57
0.958,43,0.176,0.138,0.53,0.156,81,42.0,32.2,0.612,5783,30.5,156.1,19.9,49,72,64,96.6,14.2,-1,59
0.8420000000000001,32,0.057,0.253,0.585,0.105,50,56.0,25.8,0.3829999999999999,2814,22.3,165.1,25.3,34,91,64,82.3,13.8,0,52
0.956,17,0.145,0.177,0.506,0.171,40,1.1,39.2,0.276,8219,31.8,152.7,24.4,68,31,0,76.3,13.6,-9,58
0.98,56,0.168,0.171,0.5539999999999999,0.106,49,42.3,24.0,0.449,10856,30.1,164.9,21.2,18,134,22,41.9,12.6,0,56
0.967,25,0.201,0.218,0.501,0.081,191,58.7,12.0,0.332,3969,34.9,178.0,23.8,58,71,63,84.3,13.3,4,65
0.97,34,0.159,0.2289999999999999,0.568,0.044,63,29.4,7.7,0.531,7961,39.5,167.1,21.7,61,36,82,72.9,12.8,-10,58
0.95,34,0.231,0.177,0.506,0.086,153,29.1,18.3,0.422,12216,33.4,177.5,20.1,62,0,75,79.2,17.5,-4,61
0.927,63,0.246,0.103,0.588,0.063,49,49.5,23.0,0.31,3503,35.7,180.1,23.1,45,26,14,70.8,14.3,0,58
0.965,37,0.089,0.228,0.5579999999999999,0.125,71,4.7,26.1,0.327,2654,36.3,181.3,24.8,58,41,0,58.8,13.7,-5,62
0.978,34,0.2339999999999999,0.258,0.44,0.068,19,86.8,62.4,0.359,5420,37.7,176.6,25.1,55,93,66,92.5,15.7,5,68
0.899,24,0.2319999999999999,0.226,0.481,0.061,57,33.1,45.6,0.4589999999999999,6815,25.8,168.4,22.4,45,87,53,77.8,13.8,9,60
0.8370000000000001,29,0.13,0.239,0.546,0.086,104,9.9,30.8,0.65,5423,31.6,173.6,24.4,20,14,92,83.8,17.8,12,51
0.949,54,0.242,0.27,0.405,0.084,24,39.0,34.4,0.667,0,29.3,181.7,22.4,72,60,26,43.3,13.0,-3,62
0.929,14,0.1969999999999999,0.198,0.4,0.205,69,12.4,45.4,0.488,9670,39.6,171.6,21.2,37,63,58,76.2,12.1,3,63
0.936,33,0.209,0.1889999999999999,0.539,0.064,86,18.2,48.5,0.373,5618,31.9,165.7,23.4,18,68,30,104.3,13.2,0,60
0.989,68,0.18,0.253,0.485,0.0819999999999999,76,28.1,5.0,0.507,9429,25.5,164.0,22.1,22,0,82,63.5,14.4,-9,60
0.7959999999999999,36,0.182,0.166,0.521,0.131,95,70.6,20.7,0.298,3961,27.1,192.1,20.5,60,0,24,82.5,17.3,0,43
0.926,20,0.173,0.172,0.621,0.034,175,5.9,29.5,0.517,5743,25.0,172.0,25.9,56,90,61,56.5,15.4,-3,61
0.947,58,0.236,0.285,0.3939999999999999,0.085,81,35.2,9.9,0.299,4624,30.4,177.5,22.5,46,50,61,89.0,14.5,1,61
0.816,44,0.237,0.262,0.417,0.084,170,49.8,20.9,0.319,4954,31.6,158.8,22.8,31,24,40,95.3,13.5,-1,54
0.992,11,0.207,0.249,0.498,0.047,62,18.8,29.9,0.345,3503,32.6,165.7,23.6,70,0,53,100.5,14.1,1,65
0.962,60,0.287,0.2689999999999999,0.372,0.072,7,32.5,25.7,0.583,1893,32.8,165.9,23.5,25,38,21,68.6,15.5,-5,60
0.925,21,0.159,0.207,0.461,0.173,51,99.4,34.9,0.431,13014,40.3,169.9,23.3,61,104,21,64.5,15.3,-15,63
0.887,50,0.312,0.177,0.4639999999999999,0.047,35,69.4,41.5,0.381,5496,37.1,155.5,23.6,27,74,13,98.2,14.4,14,54
0.968,2,0.129,0.23,0.528,0.114,146,37.8,45.2,0.324,4140,29.8,179.9,24.2,31,42,65,68.4,13.1,11,69
0.964,29,0.05,0.241,0.627,0.0819999999999999,118,11.0,18.8,0.503,6335,38.2,162.7,22.7,46,79,2,90.8,15.8,-9,60
0.96,54,0.268,0.275,0.418,0.04,98,75.5,18.6,0.426,5351,24.0,176.1,19.3,36,58,73,91.7,12.3,0,58
0.86,71,0.251,0.195,0.413,0.141,56,58.0,11.4,0.245,10198,26.0,193.3,23.0,73,61,20,50.4,12.8,0,45
0.973,43,0.222,0.165,0.5710000000000001,0.0409999999999999,91,14.2,38.4,0.527,6910,33.4,173.6,24.8,74,148,16,68.3,14.1,-15,59
0.887,14,0.173,0.1939999999999999,0.574,0.0579999999999999,172,19.9,15.2,0.535,3999,31.9,175.8,24.1,72,100,37,72.8,15.7,3,57
0.973,23,0.14,0.275,0.517,0.068,81,30.2,44.6,0.637,2986,39.2,155.1,20.9,66,28,81,72.5,15.2,-2,66
0.968,9,0.2189999999999999,0.226,0.4,0.155,96,5.8,17.4,0.412,8524,26.7,192.6,18.2,74,139,26,81.3,15.3,5,65
0.938,46,0.301,0.185,0.432,0.0819999999999999,93,58.6,41.2,0.569,4821,28.9,151.3,24.8,43,77,80,69.7,12.5,-17,57
0.857,21,0.312,0.08,0.5329999999999999,0.075,96,43.8,35.0,0.536,3495,38.5,163.1,21.0,45,57,73,86.7,14.9,0,50
0.97,26,0.237,0.188,0.478,0.0969999999999999,129,13.9,30.1,0.422,3477,33.0,192.1,24.5,20,3,17,74.2,15.3,-3,61
0.926,60,0.215,0.182,0.542,0.062,115,4.3,34.7,0.34,2236,26.4,176.7,22.1,45,0,85,75.6,12.4,-2,53
0.937,33,0.122,0.2019999999999999,0.578,0.0969999999999999,127,76.1,20.8,0.512,8270,28.8,172.2,22.1,69,36,17,76.9,14.0,0,55
0.963,23,0.156,0.136,0.5820000000000001,0.126,168,2.6,23.5,0.513,13410,38.3,187.2,22.5,56,54,0,66.6,14.4,6,60
0.977,25,0.143,0.23,0.5539999999999999,0.073,199,37.2,55.5,0.486,7115,31.0,176.6,27.7,21,33,77,79.3,12.1,-13,65
0.961,43,0.214,0.195,0.561,0.03,127,26.3,33.5,0.475,5621,39.8,159.1,22.8,27,34,70,84.9,13.0,-3,58
0.882,44,0.149,0.13,0.507,0.214,79,7.7,22.1,0.562,9759,31.5,163.8,23.5,56,70,14,60.6,13.0,1,49
0.915,45,0.099,0.237,0.624,0.04,29,6.3,5.0,0.36,1703,21.1,162.9,21.7,42,28,115,42.0,17.1,-8,53
0.958,56,0.249,0.102,0.428,0.222,28,27.9,52.9,0.561,7029,20.0,177.5,25.4,30,11,67,83.1,14.2,3,53
0.966,43,0.245,0.295,0.381,0.079,115,49.6,38.5,0.257,8589,29.2,182.7,23.4,18,110,76,73.3,13.9,5,68
0.994,54,0.133,0.217,0.541,0.108,15,63.8,11.4,0.298,6860,24.5,172.2,19.6,76,1,61,59.1,15.7,1,57
0.875,26,0.172,0.166,0.5539999999999999,0.108,64,6.8,16.0,0.4639999999999999,5340,24.0,157.9,20.4,79,110,41,99.7,14.9,-5,58
0.851,46,0.17,0.255,0.568,0.006,11,17.9,34.3,0.233,0,38.0,167.3,23.1,68,49,48,78.0,15.3,1,46
0.931,48,0.207,0.118,0.5429999999999999,0.131,152,13.5,36.2,0.379,9524,35.6,168.6,22.7,52,9,3,72.3,12.1,-4,51
0.921,49,0.204,0.177,0.534,0.086,257,35.8,21.2,0.379,2843,40.2,164.8,24.6,61,63,50,62.5,11.3,-2,52
0.935,33,0.212,0.186,0.573,0.03,14,6.9,39.1,0.267,6603,33.8,169.6,21.2,70,0,7,73.0,13.0,-4,53
0.987,64,0.1989999999999999,0.213,0.55,0.039,107,15.0,28.6,0.5589999999999999,10646,29.8,172.0,25.2,56,24,50,56.5,11.9,6,57
0.894,74,0.258,0.135,0.536,0.072,101,59.6,17.6,0.351,3067,37.0,181.5,21.9,63,73,3,78.2,14.5,-2,53
0.94,18,0.144,0.209,0.436,0.21,139,38.9,17.3,0.77,3689,30.1,168.4,23.2,49,28,27,65.4,14.7,-4,60
0.914,45,0.089,0.182,0.591,0.138,69,15.1,41.6,0.342,8028,35.8,164.4,26.3,27,62,76,65.6,12.6,2,55
0.914,41,0.158,0.208,0.628,0.005,124,18.8,27.0,0.4379999999999999,7909,25.5,176.7,19.5,51,57,35,78.1,14.1,16,55
0.978,46,0.177,0.221,0.596,0.005,3,52.2,32.8,0.551,3245,44.8,176.1,20.6,30,42,96,73.4,15.4,3,59
0.986,34,0.159,0.176,0.609,0.055,149,59.9,26.0,0.502,11953,27.4,159.3,21.2,58,16,43,59.2,13.8,2,63
0.911,17,0.15,0.08,0.5770000000000001,0.193,112,20.9,17.4,0.432,8687,34.6,181.1,21.4,76,63,18,62.4,12.5,-9,56
0.904,34,0.146,0.215,0.562,0.077,126,48.2,5.0,0.452,4636,32.6,179.2,21.0,51,7,93,91.2,14.4,8,56
0.961,0,0.177,0.268,0.528,0.026,126,83.6,23.8,0.302,0,35.3,157.4,26.8,53,68,3,68.8,13.4,2,67
0.979,21,0.1969999999999999,0.181,0.504,0.118,125,37.3,15.9,0.516,9508,28.8,183.5,24.2,66,63,32,66.7,17.6,4,66
0.954,54,0.191,0.1969999999999999,0.537,0.075,60,58.3,23.6,0.502,7188,20.5,171.0,24.8,52,76,34,75.9,13.8,-4,52
0.97,28,0.12,0.272,0.469,0.139,72,12.6,55.9,0.473,7322,35.1,154.2,25.0,69,0,21,49.2,16.7,9,59
0.923,15,0.106,0.237,0.42,0.237,132,49.9,33.0,0.261,10979,45.4,164.5,20.6,52,108,31,88.2,15.8,3,57
0.957,27,0.209,0.182,0.494,0.115,102,12.0,32.6,0.621,1862,32.0,186.7,19.9,62,42,72,83.6,14.8,-2,67
0.976,35,0.069,0.159,0.574,0.1989999999999999,72,46.4,31.1,0.405,12824,33.8,181.0,21.2,48,31,2,98.1,13.1,-3,56
0.871,45,0.233,0.228,0.513,0.026,13,32.2,42.3,0.4579999999999999,9899,33.5,172.6,26.3,73,103,77,59.5,15.8,4,54
